Part Number,Quantity,Manufacturer
BZX84-B15 ,3000 ,Philips 
GCM1885C1H471JA16D ,3000 ,Murata 
M24C16-MN6 ,3000 ,STM 
SD05T1G ,3000 ,ON Semiconductor 
SMV1234-011LF ,3000 ,Skyworks 
UC1112H- 11-PR ,2995 ,Stanley Electric Co. 
VCAS080514C300DP ,2900 ,AVX 
C1608C0G2E122J080AA ,2737 ,TDK 
M24C32-WMN6T ,2580 ,ST Micro 
CSD17552Q3A ,2547 ,TI 
"74HC139PW,118 ",2500 ,Philips 
BYV95C ,2500 ,"General Semiconductor, Inc. "
TLE4275DNT ,2500 ,Infineon 
SMUN5233DW1T1G ,2415 ,On Semi 
SSM2166SZ-REEL ,2407 ,Analog Devices 
MAX6365PKA26 ,2288 ,Maxim Integrated 
28C0236-0DW ,2118 ,Steward 
M24C32-WMN6 ,2116 ,ST Micro 
APSF6R3ELL821MF08S ,2100 ,Chemi-Con 
293D226X96R3A2T ,2000 ,Vishay 
54001801 ,2000 ,FCI-Berg 
AVR-M2012C220KT6AB ,2000 ,TDK 
C2012X7R1H224K125AA ,2000 ,TDK 
C3216X7R0J226KT0Y9E ,2000 ,TDK 
HFA30PB120PBF ,2000 ,Vishay 
NL322522T-R47K ,2000 ,TDK 
SDA5650 ,2000 ,Infineon 
SN74HC08PWR ,2000 ,TI 
UUG1C102MNR1MS ,2000 ,Nichicon 
VJ1206Y103KXAMT ,2000 ,Vishay 
M24C64-MN6T ,1955 ,STM 
RK73H2BTTD4R70F ,1839 ,KOA 
ERJ-6ENF2002V ,1748 ,Panasonic 
CU1D151MCDANG (20S... ,1600 ,Sanyo/Os-Con 
GRM31CR71A106KA01L ,1574 ,Murata 
M22759/16-14-9 ,1562 ,Theramax / Harbour 
13544535 ,1500 ,Delphi 
1843 ,1500 ,Heyco 
MHS06034WH00*T ,1500 ,FCI / Aptiv 
PTZTE2518B ,1500 ,ROHM 
SN74AC08PWR ,1500 ,Texas Instruments 
T491X686K020AS ,1500 ,Kemet 
LTR18EZPJ102 ,1431 ,ROHM 
LCBS-TF-08-01 ,1420 ,Astec / Essentra Components 
MC13143DR2 ,1400 ,Motorola 
TDA9811/V4 ,1400 ,Philips 
TLP734 ,1400 ,Toshiba 
NVTFS5116PLTAG ,1399 ,ON Semi 
TJA1028TK/5V0/20/1 ,1309 ,NXP 
GRM21BR60J226ME39L ,1301 ,Murata 
AMB1608C3600Z10AT ,1300 ,FDK 
UA78S40PC ,1300 ,Motorola 
ISD2540S ,1284 ,ISD 
LTS25-NP ,1269 ,LEM 
CC0805KRX7R9BB102 ,1245 ,YAGEO 
TD62308AP ,1212 ,TOSHIBA 
010-7470 ,1200 ,Waterway 
74ACT161SC ,1155 ,Fairchild 
102618-1 ,1083 ,TE / Tyco 
CC430F6126IRGCR ,1004 ,TI 
597 ,1000 ,Deringer 
157-00143 ,1000 ,Hellermann Tyton 
31903 ,1000 ,TE Connectivity 
4402 ,1000 ,Arlington 
913105 ,1000 ,EUROHM 
AZ23C5V1-7.FDICT-ND ,1000 ,Diodes Incorporated 
CF61B0201-2326-14/B69... ,1000 ,TDK 
ECWF4394JL ,1000 ,PANASONIC 
GRP120NF18 ,1000 ,Alpha Wire 
HEF4053BTD ,1000 ,Philips 
KSL3F330K-L516B ,1000 ,AEC 
M30624FGAGP#U3 ,1000 ,RENESAS 
MT28F640J3RG-12ET ,1000 ,"Micron Technology, Inc. "
MT46V32M16CY-5B J ,1000 ,"Micron Technology, Inc. "
MV8114 ,1000 ,Everlight 
NY-5G-53-20 ,1000 ,Hartwell / SouthCo 
NY-5P-53-1-50 ,1000 ,Hartwell / SouthCo 
QS3383SOX ,1000 ,Quality Semiconductors 
SAA5254P/T/M1C ,1000 ,Philips 
T491D157K006AT ,1000 ,Kemet 
TCD41E1H475M ,1000 ,Nippon Chemi-Con 
XTD66AKZ1 ,1000 ,SAIA Burgess 
ZVNL110ASMTA ,1000 ,Zetex 
TDA7052 ,999 ,Philips 
GRM32ER71H475KA88L ,995 ,MURATA 
RI-TRP-V9WK-00 ,995 ,TI 
182-2103 ,990 ,Farnell / TE 
ECA-2GHG2R2B ,990 ,Panasonic 
MT46V2M32VILG-6 ,976 ,"Micron Technology, Inc. "
C2012X7R1H473KT0Y9N ,905 ,TDK 
3061P05B2T ,885 ,Winland (Landwin) 
ETQ-P4M220YFP ,825 ,Panasonic 
350687-1 ,810 ,AMP / TE 
KCH3F180K-L516B ,800 ,AEC 
